id,postal,name,population,lat,long
01,AL,Alabama,4903185,8.09977892356089,-6.060260830966031
02,AK,Alaska,731545,-17.135857111960384,-8.79941083746821
04,AZ,Arizona,7278717,-11.895609143831331,-3.709284169838189
05,AR,Arkansas,3017804,3.557356925468538,-3.873434353428813
06,CA,California,39512223,-17.926825958898373,0.3351806223933987
08,CO,Colorado,5758736,-6.7171121956856,0.7693573233989195
09,CT,Connecticut,3565287,17.582469634143497,5.026876959534984
10,DE,Delaware,973764,16.120899234582804,1.9961685029081262
11,DC,District of Columbia,705749,14.998093161553278,1.6669321374529542
12,FL,Florida,21477737,13.035406741958345,-9.77516571715743
13,GA,Georgia,10617423,10.867038621079155,-4.8081225651941315
15,HI,Hawaii,1415872,-7.823644765414666,-12.224736551441762
16,ID,Idaho,1787065,-12.868787934901457,6.710313386685114
17,IL,Illinois,12671821,5.772619937029655,1.5062885512655557
18,IN,Indiana,6732219,7.9162394667176015,1.9738887337280846
19,IA,Iowa,3155070,2.247235338523756,3.38132852095056
20,KS,Kansas,2913314,-1.0862056820947648,-0.18710671395962558
21,KY,Kentucky,4467673,9.61389475915536,-0.3052047270011374
22,LA,Louisiana,4648794,3.6234629062998973,-8.28081220583612
23,ME,Maine,1344212,19.19065693688702,9.347906905128097
24,MD,Maryland,6045680,15.252343370939471,1.8586326106093218
25,MA,Massachusetts,6892503,18.32112508924306,6.0517747867865435
26,MI,Michigan,9986857,8.659021783626264,6.00635036322969
27,MN,Minnesota,5639632,1.4067980766268566,7.715892158914945
28,MS,Mississippi,2976149,5.460850473122953,-5.584945482262578
29,MO,Missouri,6137428,3.0927008126948747,-0.0817809394076107
30,MT,Montana,1068778,-8.782636034836514,8.926469980459846
31,NE,Nebraska,1934408,-2.508105260564348,2.884987950154324
32,NV,Nevada,3080156,-15.541576615695675,2.9789416714298422
33,NH,New Hampshire,1359711,17.829593444868095,7.567071114261296
34,NJ,New Jersey,8882190,16.40728361873678,2.9213859223315732
35,NM,New Mexico,2096829,-7.731409334594155,-3.999552411346203
36,NY,New York,19453561,15.612903639756754,6.003224312302769
37,NC,North Carolina,10488084,12.636212400274694,-1.9712052876420485
38,ND,North Dakota,762062,-2.54504236420867,9.017575990667966
39,OH,Ohio,11689100,10.253538676250002,2.3517645987448605
40,OK,Oklahoma,3956971,-0.2739935221644022,-2.637696205327247
41,OR,Oregon,4217737,-16.90211332106329,7.567071114261296
42,PA,Pennsylvania,12801989,14.407374153749819,3.905574143640507
44,RI,Rhode Island,1059361,18.41931067293059,5.34458836087161
45,SC,South Carolina,5148714,12.647337910818065,-3.953767738975055
46,SD,South Dakota,884659,-2.381197829954677,5.889462283982402
47,TN,Tennessee,6829174,7.952257118277327,-2.4997485562851898
48,TX,Texas,28995881,-2.95344534859619,-7.666244196436148
49,UT,Utah,3205958,-11.685543425743619,1.7462826311451352
50,VT,Vermont,623989,16.996584894353788,7.354881865928964
51,VA,Virginia,8535519,14.420886277797456,0.5415909390819436
53,WA,Washington,7614893,-16.10432668290573,11.181523666029914
54,WV,West Virginia,1792147,12.341557521721807,1.2720283671105252
55,WI,Wisconsin,5822434,5.084525173063939,5.98712918247858
56,WY,Wyoming,578759,-7.719240903319116,4.890824480085318
72,PR,Puerto Rico,2933408,20,-12